epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.65,2.01877,1.82425,1.41336,0.23051,0.19555,0.2094,0.09264,2.50408,3.69267,1.63626,0.0670815,0.00033251,0.00033251
2,899.267,1.84804,1.28375,1.33894,0.34431,0.21308,0.22168,0.09906,2.28926,3.78296,1.46508,0.0340749,0.000659252,0.000659252
3,1512.3,1.80322,1.17565,1.32025,0.26304,0.21585,0.23428,0.11027,2.29352,4.07269,1.49002,0.0010617,0.000979393,0.000979393
4,1996.24,1.79741,1.13155,1.32361,0.2685,0.24645,0.2588,0.11638,2.30118,3.49876,1.4808,0.0009703,0.0009703,0.0009703
5,2518.33,1.75878,1.07074,1.30692,0.27171,0.25474,0.26235,0.12285,2.32987,3.70251,1.51181,0.0009604,0.0009604,0.0009604
6,2999.93,1.75211,1.03434,1.30257,0.28883,0.24917,0.25547,0.12602,2.31518,3.8862,1.50491,0.0009505,0.0009505,0.0009505
7,3508.04,1.73509,1.00462,1.2964,0.38722,0.26406,0.28795,0.14231,2.30043,3.53142,1.49989,0.0009406,0.0009406,0.0009406
8,3968.76,1.72879,0.97908,1.30118,0.40154,0.25358,0.27437,0.13403,2.30558,3.71521,1.53237,0.0009307,0.0009307,0.0009307
9,4421.4,1.71862,0.9669,1.29698,0.3207,0.26804,0.27304,0.13524,2.29529,3.77503,1.50481,0.0009208,0.0009208,0.0009208
10,4843.87,1.71203,0.94266,1.28871,0.42007,0.24475,0.26374,0.1371,2.41346,4.01767,1.59442,0.0009109,0.0009109,0.0009109
11,5271.86,1.69801,0.93268,1.29056,0.49934,0.25702,0.29286,0.14364,2.33734,3.40226,1.54101,0.000901,0.000901,0.000901
12,5715.97,1.69059,0.91252,1.27708,0.49345,0.25906,0.28823,0.14469,2.27465,3.91963,1.50672,0.0008911,0.0008911,0.0008911
13,6165.79,1.69015,0.90471,1.27433,0.39745,0.25448,0.29197,0.14306,2.34047,3.72878,1.55897,0.0008812,0.0008812,0.0008812
14,6612.95,1.6804,0.89862,1.27688,0.47397,0.25751,0.29891,0.14785,2.28378,3.53675,1.51018,0.0008713,0.0008713,0.0008713
15,7100.76,1.66821,0.88854,1.2732,0.3939,0.27567,0.31245,0.14763,2.29535,3.5871,1.47081,0.0008614,0.0008614,0.0008614
16,7550.35,1.66922,0.87432,1.26563,0.40799,0.26203,0.30867,0.15552,2.28889,3.72625,1.51269,0.0008515,0.0008515,0.0008515
17,7999.41,1.66496,0.87774,1.25994,0.44322,0.27509,0.32256,0.15555,2.29594,3.51786,1.51928,0.0008416,0.0008416,0.0008416
18,8421.01,1.6565,0.8582,1.26362,0.39872,0.27601,0.32113,0.1617,2.20568,3.46537,1.50099,0.0008317,0.0008317,0.0008317
19,8976.48,1.65072,0.8631,1.26346,0.50763,0.25865,0.30731,0.14995,2.24578,3.65075,1.4921,0.0008218,0.0008218,0.0008218
20,9421.89,1.65009,0.8496,1.25923,0.41579,0.30388,0.32048,0.1553,2.23412,3.49543,1.46885,0.0008119,0.0008119,0.0008119
21,9878.5,1.64423,0.84839,1.26027,0.40164,0.27069,0.31792,0.15859,2.22484,3.56424,1.4775,0.000802,0.000802,0.000802
22,10314.4,1.63263,0.83823,1.24638,0.41669,0.26833,0.29173,0.15097,2.26433,3.91498,1.51318,0.0007921,0.0007921,0.0007921
23,10876.2,1.63567,0.83923,1.25949,0.40404,0.2679,0.30495,0.15535,2.23632,3.54666,1.49363,0.0007822,0.0007822,0.0007822
24,11369,1.62775,0.8286,1.25301,0.43063,0.26682,0.30217,0.15299,2.38082,3.65026,1.56896,0.0007723,0.0007723,0.0007723
25,11987.9,1.62066,0.81929,1.24376,0.409,0.28442,0.31335,0.15833,2.36929,3.53444,1.60849,0.0007624,0.0007624,0.0007624
26,12525.8,1.61588,0.81606,1.24294,0.41087,0.2871,0.30753,0.15683,2.23674,3.60285,1.44218,0.0007525,0.0007525,0.0007525
27,13064.3,1.61976,0.81487,1.2385,0.40819,0.27865,0.31421,0.15998,2.30865,3.54219,1.54741,0.0007426,0.0007426,0.0007426
28,13597,1.61155,0.8041,1.23279,0.41219,0.266,0.29466,0.1526,2.31042,3.75403,1.49783,0.0007327,0.0007327,0.0007327
29,14180,1.61077,0.80127,1.23763,0.41938,0.28769,0.31382,0.15893,2.24285,3.47839,1.52483,0.0007228,0.0007228,0.0007228
30,14729.6,1.60852,0.79814,1.23072,0.41644,0.27455,0.30509,0.15609,2.31361,3.50921,1.52163,0.0007129,0.0007129,0.0007129
31,15295.7,1.60168,0.79678,1.2325,0.28395,0.3467,0.30075,0.1532,2.31529,3.64072,1.50263,0.000703,0.000703,0.000703
32,15917.3,1.61001,0.79591,1.23074,0.41005,0.28288,0.30091,0.15381,2.29644,3.6658,1.54618,0.0006931,0.0006931,0.0006931
33,16540.5,1.59864,0.79917,1.22231,0.40902,0.2772,0.3086,0.15899,2.33173,3.59393,1.53782,0.0006832,0.0006832,0.0006832
34,16992.4,1.59669,0.79698,1.21863,0.44439,0.28977,0.30711,0.15794,2.28753,3.72923,1.51071,0.0006733,0.0006733,0.0006733
35,17417.3,1.59259,0.78402,1.22201,0.40811,0.28069,0.32405,0.16628,2.27126,3.51685,1.50502,0.0006634,0.0006634,0.0006634
36,17964.2,1.57736,0.77426,1.21097,0.4452,0.30306,0.33035,0.16096,2.31896,3.59673,1.45296,0.0006535,0.0006535,0.0006535
37,18514.6,1.57229,0.7794,1.21269,0.31105,0.34479,0.32926,0.16883,2.28029,3.61178,1.50039,0.0006436,0.0006436,0.0006436
38,18940.7,1.58202,0.78054,1.21477,0.4127,0.27001,0.31315,0.1601,2.37454,3.6548,1.54582,0.0006337,0.0006337,0.0006337
39,19438.7,1.57559,0.77393,1.2043,0.41399,0.28274,0.31354,0.1633,2.32261,3.68649,1.49871,0.0006238,0.0006238,0.0006238
40,19882.9,1.56888,0.76772,1.20845,0.44692,0.31029,0.34531,0.17172,2.26871,3.4407,1.46705,0.0006139,0.0006139,0.0006139
41,20341.7,1.57522,0.76629,1.20841,0.29324,0.37107,0.33638,0.17154,2.26838,3.58659,1.49751,0.000604,0.000604,0.000604
42,20772.4,1.56351,0.75891,1.20277,0.4264,0.27816,0.30685,0.15824,2.30267,3.67308,1.46604,0.0005941,0.0005941,0.0005941
43,21214.7,1.55958,0.76353,1.19207,0.30897,0.34928,0.32084,0.16978,2.2737,3.81473,1.48937,0.0005842,0.0005842,0.0005842
44,21768.1,1.56115,0.75808,1.19456,0.28865,0.34764,0.30044,0.15777,2.38584,3.88446,1.5905,0.0005743,0.0005743,0.0005743
45,22226.2,1.55593,0.75932,1.19118,0.42323,0.27781,0.32453,0.16817,2.33337,3.70462,1.54581,0.0005644,0.0005644,0.0005644
46,22656,1.55239,0.748,1.18689,0.2951,0.3507,0.31582,0.16346,2.30514,3.71721,1.50618,0.0005545,0.0005545,0.0005545
47,23193.5,1.54659,0.7434,1.18553,0.34791,0.3212,0.33397,0.16812,2.378,3.60277,1.58172,0.0005446,0.0005446,0.0005446
48,23742.2,1.5384,0.74204,1.18909,0.36377,0.29793,0.32252,0.16547,2.385,3.73436,1.58131,0.0005347,0.0005347,0.0005347
49,24196.8,1.53484,0.74063,1.18157,0.31566,0.36974,0.32814,0.17274,2.28195,3.77062,1.50009,0.0005248,0.0005248,0.0005248
50,24629.1,1.54146,0.74061,1.18723,0.37043,0.3331,0.35064,0.17946,2.24333,3.5491,1.47297,0.0005149,0.0005149,0.0005149
51,25071,1.52678,0.73297,1.1798,0.32626,0.35793,0.34786,0.17284,2.38835,3.67419,1.58323,0.000505,0.000505,0.000505
52,25513.9,1.53594,0.73208,1.17811,0.33464,0.30595,0.34278,0.17228,2.34581,3.67822,1.53942,0.0004951,0.0004951,0.0004951
53,25953,1.52794,0.72838,1.17886,0.32078,0.35087,0.3341,0.17419,2.28932,3.59945,1.50544,0.0004852,0.0004852,0.0004852
